NAMESPACE            LAST SEEN   TYPE      REASON                           OBJECT                                                                                   MESSAGE
kube-system          34m         Normal    Pulled                           pod/gke-metadata-server-4c6j9                                                            Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251006.01_p0@sha256:9042573fdb0db543b09002011fd5231eb1b0799bc345f40bd39454deaef0f7ab" already present on machine and can be accessed by the pod
gke-gmp-system       34m         Normal    SuccessfulCreate                 daemonset/collector                                                                      Created pod: collector-vqzk4
kube-system          34m         Normal    Pulled                           pod/gke-metrics-agent-8fjlf                                                              Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260312.00_p0@sha256:d31f982e00598633fd2e94787f76894e29e80a3d87f5e15eacfc42b40e866de8" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Created                          pod/ip-masq-agent-fm2mb                                                                  Container created
kube-system          34m         Normal    Created                          pod/gke-metadata-server-4c6j9                                                            Container created
kube-system          34m         Normal    Created                          pod/gke-metrics-agent-8fjlf                                                              Container created
kube-system          34m         Normal    Created                          pod/efficiency-daemon-dxp69                                                              Container created
kube-system          34m         Normal    Created                          pod/netd-rg74m                                                                           Container created
kube-system          34m         Normal    Pulled                           pod/netd-rg74m                                                                           Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/netd:v0.10.12-gke.8@sha256:1aa11b6015e9372313038cb82ae76e78efc7631fce3f4df177cb8b329df61f49" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Pulling                          pod/efficiency-daemon-dxp69                                                              Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/efficiency-daemon:v34.3.0-gke.2@sha256:129384f170c04dec8031ff2092e60f5e93a52df83de7dec85081ed842fa0feeb"
kube-system          34m         Normal    Pulled                           pod/efficiency-daemon-dxp69                                                              Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/efficiency-daemon:v34.3.0-gke.2@sha256:129384f170c04dec8031ff2092e60f5e93a52df83de7dec85081ed842fa0feeb" in 516ms (516ms including waiting). Image size: 44672516 bytes.
kube-system          34m         Normal    Started                          pod/gke-metadata-server-4c6j9                                                            Container started
kube-system          34m         Normal    Started                          pod/netd-rg74m                                                                           Container started
kube-system          34m         Normal    Pulled                           pod/netd-rg74m                                                                           Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20251007_2300_RC0@sha256:0d590a9fb5339909d425b2eede28ac05cc76346092cbe82602c7618f047c25f0" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Started                          pod/gke-metrics-agent-8fjlf                                                              Container started
kube-system          34m         Normal    Created                          pod/netd-rg74m                                                                           Container created
kube-system          34m         Normal    Pulling                          pod/parallelstore-csi-node-vrz99                                                         Pulling image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/parallelstore-csi-driver:v0.2.10-gke.8@sha256:90119aa61b444087099a195fb0e7c105f0d37c8bc86df6dc9b6f30650d7a6655"
kube-system          34m         Normal    Started                          pod/ip-masq-agent-fm2mb                                                                  Container started
gke-gmp-system       34m         Normal    Pulled                           pod/collector-vqzk4                                                                      Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-distroless/bash:gke_distroless_20260207.00_p0@sha256:002b4b70bf122aaed02d9ba7158a5ce8424a5cc4342cc304ab6c254943f6a5da" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Pulled                           pod/gke-metadata-server-4c6j9                                                            Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metadata-server:gke_metadata_server_20260309.00_p0@sha256:2fd008f6a58022a2880e918c0f484e9f2680d55ef42176d43a3ba89efaa155ef" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Pulled                           pod/gke-metrics-agent-8fjlf                                                              Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/autoscaling-metrics-exporter:autoscaling-0.2.2-gke.0@sha256:e591f90494721d6cefffbc26d574be71284a77b025cd1d7c16f3b6ff3eb32553" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Started                          pod/efficiency-daemon-dxp69                                                              Container started
gke-gmp-system       34m         Normal    Created                          pod/collector-vqzk4                                                                      Container created
kube-system          34m         Normal    Started                          pod/gke-metadata-server-4c6j9                                                            Container started
kube-system          34m         Normal    Started                          pod/netd-rg74m                                                                           Container started
kube-system          34m         Normal    Created                          pod/gke-metrics-agent-8fjlf                                                              Container created
gke-gmp-system       34m         Normal    Started                          pod/collector-vqzk4                                                                      Container started
kube-system          34m         Normal    Created                          pod/gke-metadata-server-4c6j9                                                            Container created
kube-system          34m         Normal    Pulled                           pod/parallelstore-csi-node-vrz99                                                         Successfully pulled image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/parallelstore-csi-driver:v0.2.10-gke.8@sha256:90119aa61b444087099a195fb0e7c105f0d37c8bc86df6dc9b6f30650d7a6655" in 1.728s (1.728s including waiting). Image size: 37816930 bytes.
kube-system          34m         Normal    Created                          pod/parallelstore-csi-node-vrz99                                                         Container created
kube-system          34m         Normal    Started                          pod/gke-metrics-agent-8fjlf                                                              Container started
kube-system          34m         Normal    Pulled                           pod/gke-metrics-agent-8fjlf                                                              Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.0@sha256:14dc994f68ccd984707864a180b1d84643e8342f41fad51590dab2087a888bdb" already present on machine and can be accessed by the pod
kube-system          34m         Normal    Created                          pod/gke-metrics-agent-8fjlf                                                              Container created
gke-gmp-system       34m         Normal    Pulled                           pod/collector-vqzk4                                                                      Container image "us-central1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20251019.00_p0@sha256:2e1549e4692726aecc70364a1d6700cf276db2d9b4da90179284ca8de168c976" already present on machine and can be accessed by the pod
kube-system          34m         Warning   Unhealthy                        pod/gke-metadata-server-4c6j9                                                            Readiness probe failed: Get "http://127.0.0.1:989/healthz": dial tcp 127.0.0.1:989: connect: connection refused
pmomax               33m         Normal    UPDATE                           service/pmo-architect-svc                                                                pmomax/pmo-architect-svc
kube-system          33m         Normal    UPDATE                           service/default-http-backend                                                             kube-system/default-http-backend
